x,y,z,ln_permea
44,36,11,-16.4697399
44,36,12,-17.0078392
44,36,13,-17.4801273
44,36,14,-18.0080376
54,74,11,-18.2315598
54,74,12,-17.4416122
54,74,13,-17.0926723
54,74,14,-16.8544769
50,64,11,-17.1071739
50,64,12,-17.2444534
50,64,13,-18.740263
50,64,14,-18.9392929
76,12,11,-14.5513639
76,12,12,-14.7597704
76,12,13,-15.5997448
76,12,14,-14.4924889
20,80,11,-16.3598976
20,80,12,-15.9804125
20,80,13,-15.9273472
20,80,14,-16.6566486
